City,Temp (F),Humidity (%),Cloud Cover (%),Wind Speed (mph),Latitude,Longitude
puerto ayora,71.14,97,68,12.55,-0.78,-104.93
puerto ayora,70.6,100,64,16.46,-17.27,-106.02
busselton,12.55,100,92,39.73,-62.92,99.16
mataura,42.88,100,64,15.23,-52.31,-152.53
nagua,82.57,100,0,16.02,19.97,-69.4
high rock,78.7,100,44,2.93,27.86,-77.68
rikitea,73.66,100,8,16.58,-11.36,-114.74
kijang,84.19,96,88,4.61,0.83,106.64
zapolyarnyy,44.5,89,0,5.5,66.43,62.8
bhuj,80.14,80,88,12.1,23.45,69.92
hasaki,82.57,100,12,5.73,26.61,157.42
busselton,-72.87,0,0,23.85,-78.12,77.71
turbat,63.76,24,0,2.71,27.15,64.03
upernavik,32.08,100,88,15.68,89.15,-54.84
sombrio,56.38,56,0,10.98,-29.05,-49.91
hobart,-59.55,0,8,5.39,-80.52,137.86
port lincoln,47.38,100,88,17.58,-40.24,128.75
bambous virieux,56.65,100,92,5.95,-33.1,75.47
kapaa,79.78,100,44,16.24,22.34,-175.24
santa maria,78.88,99,0,12.21,17.84,-19.86
urubicha,80.32,39,20,9.98,-15.18,-61.63
barrow,23.71,100,68,3.6,78.08,-145.81
albany,46.03,100,68,16.13,-45.42,111.08
kaffrine,84.55,98,32,7.18,14.12,-15.33
cherskiy,31.0,95,92,13.0,73.94,161.84
severo-kurilsk,52.33,99,36,6.73,51.12,154.0
punta arenas,30.01,100,24,26.64,-59.42,-111.21
atuona,75.55,100,80,17.81,-3.08,-121.31
vaini,44.5,100,8,24.52,-53.36,-173.55
hermanus,-49.38,0,32,18.7,-85.88,-12.51
sidney,64.04,46,1,5.82,48.19,-104.99
anta,62.6,61,40,1.92,-13.46,-72.48
punta arenas,-28.05,36,44,15.12,-78.15,-101.96
kapaa,75.01,96,32,19.71,36.65,-171.73
severo-kurilsk,81.22,100,92,16.02,33.49,162.97
rikitea,66.82,100,92,11.43,-26.7,-116.73
jining,55.66,96,76,3.38,41.39,113.4
grand-lahou,78.16,97,36,18.7,3.58,-5.03
sambava,75.82,100,80,24.18,-12.7,50.8
port elizabeth,-88.98,0,0,4.05,-80.2,32.12
port alfred,-86.28,0,0,7.96,-84.89,45.3
hermanus,-3.03,86,32,4.72,-66.01,6.7
butaritari,80.86,100,44,14.0,20.39,171.68
busselton,-76.83,0,0,20.27,-79.36,80.75
bluff,-52.53,0,12,2.59,-81.11,174.78
port alfred,40.9,81,92,33.91,-50.17,33.77
san quintin,72.13,100,48,12.44,24.06,-122.14
usman,64.4,52,0,4.47,52.23,39.79
busselton,35.05,98,88,54.83,-54.54,92.58
mataura,33.79,94,92,28.66,-58.6,-155.65
belushya guba,32.98,99,88,4.38,80.21,56.14
la ronge,42.8,93,90,6.93,56.64,-105.59
bengkulu,77.53,100,44,20.49,-14.36,89.04
ushuaia,1.03,100,68,19.04,-67.14,-57.09
port alfred,-103.74,0,0,6.4,-78.45,44.6
avarua,64.93,100,80,26.08,-29.19,-164.7
hithadhoo,80.14,100,80,4.5,-0.32,71.78
punta arenas,-49.47,0,0,19.82,-86.97,-104.65
naryan-mar,54.13,65,20,7.07,67.38,51.52
portland,52.78,100,92,23.73,-41.47,141.45
camapua,78.16,57,0,9.75,-19.24,-53.98
georgetown,71.05,100,20,21.72,-16.98,-19.12
busselton,35.05,96,88,45.88,-55.74,97.44
nuevo ideal,78.16,42,0,3.6,24.76,-104.88
punta arenas,-33.99,0,12,20.15,-81.52,-117.47
punta arenas,7.42,100,44,10.54,-64.65,-112.9
ribeira grande,79.6,100,8,5.61,27.52,-42.32
presidencia roque saenz pena,68.98,24,0,10.98,-24.94,-60.77
kysyl-syr,52.42,95,64,4.38,60.96,122.97
dikson,30.91,95,92,8.19,82.63,87.6
omsukchan,36.85,88,44,7.07,63.86,156.06
albany,-72.96,0,20,1.14,-89.63,92.41
kodiak,64.21,97,68,10.54,42.71,-153.98
karachi,80.23,100,68,16.8,24.45,66.51
bodden town,86.17,99,12,9.64,19.87,-80.67
sentyabrskiy,82.75,99,92,23.06,33.55,156.52
san patricio,74.02,100,24,14.67,2.08,-117.12
albany,52.78,100,88,19.82,-36.41,116.37
port alfred,30.1,92,88,33.69,-59.95,34.51
zenzeli,68.0,45,0,6.71,46.16,47.19
vaini,49.0,100,80,29.21,-46.86,-172.79
te anau,54.94,98,80,20.15,-42.3,162.98
meulaboh,82.21,100,76,12.55,-3.31,87.84
albany,-48.03,0,32,11.43,-85.75,116.3
the pas,49.0,100,92,7.4,54.82,-100.27
tahe,54.85,91,76,2.15,51.44,125.2
grand gaube,74.92,100,80,22.17,-15.84,60.62
nizhneyansk,31.81,92,56,12.1,81.07,139.75
souillac,31.63,99,88,26.31,-56.44,75.79
whitehorse,50.0,81,75,4.7,60.81,-136.01
